Product Name,Rating,Price,Discount in Percent,Price Before Discount,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Graphic Processor,Storage Type,Ratings Count,Reviews Count,Brand
"ASUS Vivobook 14X For Creator, Intel H-Series Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Window...",5.0,63500,31.0,92990.0,Intel,Core i5,Yes,512,16 GB,DDR4,12450H,NVIDIA GeForce RTX 2050,SSD,5.0,1.0,ASUS
Apple MacBook Pro Apple M3 Max - (48 GB/1 TB SSD/macOS Sonoma) MUW73HN/A,,345990,13.0,399900.0,Apple,M3 Max,Yes,1024.0,48 GB,Unified Memory,Unknown,Unknown,SSD,0.0,0.0,Apple
Apple Apple M4 Max - (36 GB/1 TB SSD/macOS Sequoia) MX2K3HN/A,,297490,7.0,319900.0,Apple,M4 Max,Yes,1024.0,36 GB,Unified Memory,Unknown,Unknown,SSD,0.0,0.0,Apple
HP Victus Gaming Intel Core i5 12th Gen 12450H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA...,,59990,17.0,72718.0,Intel,Core i5,Yes,512,8 GB,DDR4,12450H,NVIDIA GeForce RTX 2050,SSD,0.0,0.0,HP
Lenovo Yoga Slim 6 WUXGA OLED Intel Core i7 13th Gen 13700H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH...,4.6,89890,33.0,136090.0,Intel,Core i7,Yes,512,16 GB,LPDDR5X,13700H,Intel Integrated Iris Xe,SSD,20.0,1.0,Lenovo
HP 15s Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Home) 15s-fq5112TU Thin and Light L...,4.1,51990,29.0,73400.0,Intel,Core i5,Yes,512,16 GB,DDR4,1235U,Intel Integrated Iris Xe,SSD,508.0,42.0,HP
Acer One Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) One 14 Z8-415 Thin and Ligh...,4.2,27999,33.0,41990.0,Intel,Core i3,Yes,256,8 GB,DDR4,1115G4,Intel Integrated Integrated,SSD,12644.0,940.0,Acer
Apple MacBook Air Apple M3 - (8 GB/512 GB SSD/macOS Sonoma) MRXP3HN/A,4.6,102990,23.0,134900.0,Apple,M3,Yes,512,8 GB,Unified Memory,Unknown,Unknown,SSD,251.0,17.0,Apple
Apple MacBook Air Apple M3 - (16 GB/512 GB SSD/macOS Sonoma) MXCR3HN/A,4.6,134900,,87195.11267605633,Apple,M3,Yes,512,16 GB,Unified Memory,Unknown,Unknown,SSD,251.0,17.0,Apple
ASUS Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home) X1605ZAC-MB742WS Laptop,4.4,67990,20.0,85990.0,Intel,Core i7,Yes,512,16 GB,DDR4,12700H,Intel Integrated Iris Xe,SSD,39.0,1.0,ASUS
